0,1,2,3,4,5,6,7,8,9,10,11
0.8989999999999999,0.847,2.519,5.171,0.6520000000000001,0.599,7.021,14.136,6.485,3.1359999999999997,0.7539999999999999,0.626
1.878,1.6490000000000002,1.401,7.047999999999999,1.928,1.361,12.353999999999997,23.156,16.535999999999998,6.805,2.7830000000000004,1.18
0.9029999999999999,1.0779999999999998,1.7409999999999999,7.135,0.911,0.746,7.644999999999999,10.897,7.762,3.282,1.404,0.666
3.359,3.364,2.393,5.51,3.8470000000000004,2.9989999999999997,3.383,11.443,14.625999999999998,11.153,7.062,4.0840000000000005
1.801,1.803,1.751,5.994,2.984,1.7199999999999998,6.532,15.433999999999997,6.421,2.243,1.238,0.895
2.2359999999999998,2.049,1.6660000000000001,4.903,1.709,1.247,8.736,12.132000000000001,7.6850000000000005,4.143,3.043,1.8880000000000001
2.2049999999999996,2.6710000000000003,13.799999999999999,10.841999999999999,2.4690000000000003,7.112,9.063,10.136999999999999,11.457,10.79,8.342,5.096
0.9540000000000001,1.02,3.662,4.481,1.103,1.032,4.127000000000001,11.52,10.834999999999999,6.119000000000001,3.8770000000000002,2.1270000000000002
1.802,1.066,0.77,3.685,2.865,0.7899999999999999,10.781,20.136000000000003,11.559000000000001,5.525,2.164,1.0450000000000002
0.965,1.273,0.758,6.215,0.637,0.9160000000000003,7.045,12.459999999999999,7.632,4.202,2.444,0.861
0.9590000000000001,1.7570000000000001,1.4060000000000001,5.067000000000001,0.8200000000000001,1.4939999999999998,8.072,11.703999999999999,2.139,1.691,1.373,1.42
0.623,0.5740000000000001,0.436,5.402,0.749,0.46499999999999997,7.745,10.853000000000002,4.556,1.7100000000000002,0.853,1.043
1.114,1.065,1.049,3.126,2.2619999999999996,1.065,4.5649999999999995,7.48,6.633000000000001,4.418,1.8360000000000003,0.97
0.9159999999999999,0.9119999999999999,0.468,3.8200000000000003,0.614,0.6550000000000001,4.944,8.071,1.594,1.451,1.105,0.829
1.408,2.761,2.12,5.7829999999999995,0.766,2.4219999999999997,5.322,8.818999999999999,4.39,3.0730000000000004,2.05,1.47
1.5470000000000002,2.571,1.763,3.0940000000000003,3.098,2.062,3.8920000000000003,3.9659999999999997,5.731,5.75,3.9879999999999995,2.206
2.529,2.66,2.9320000000000004,4.797,1.608,1.923,6.6,16.07,12.086,9.897,7.034999999999999,3.8840000000000003
2.457,2.9690000000000003,3.206,5.479,1.179,2.205,7.160000000000001,16.679,11.911,9.621,7.234,3.945
3.122,1.338,0.9069999999999999,8.527,4.143999999999999,0.976,8.11,16.32,8.017,5.944,3.8339999999999996,1.938
2.5090000000000003,2.534,3.0370000000000004,5.4030000000000005,1.5770000000000002,1.556,6.558,12.336999999999998,6.720999999999999,6.328,4.5809999999999995,2.393
0.6449999999999999,1.051,0.777,4.471,0.974,0.889,8.116000000000001,8.26,1.6289999999999998,1.248,0.9369999999999999,0.6589999999999999
0.687,2.113,2.9170000000000003,3.0060000000000002,0.871,2.6180000000000003,6.991,10.43,4.763999999999999,3.263,1.418,0.463
2.816,3.7980000000000005,3.5580000000000007,7.434,1.3820000000000001,1.8190000000000002,7.339,18.483999999999998,10.173,7.246999999999999,5.242999999999999,2.74
2.497,3.076,5.449,5.048,2.849,2.7640000000000002,4.4319999999999995,6.697,4.9750000000000005,4.8580000000000005,2.356,1.5609999999999997
1.7250000000000003,1.158,0.898,6.153,1.298,0.709,4.338,7.156,1.9599999999999997,1.4560000000000002,1.408,1.05
2.393,2.808,2.858,3.9009999999999994,1.0310000000000001,1.647,6.011,13.998,9.536000000000001,7.442,4.679,2.392
1.8659999999999999,1.1749999999999998,3.5580000000000003,4.63,1.811,1.0510000000000002,5.034,8.534,5.823,4.06,2.5709999999999997,1.064
2.266,2.483,3.994,4.667,1.113,2.215,5.156999999999999,15.602,9.025,6.763,5.072,3.2390000000000003
1.9259999999999997,2.53,1.181,2.7,0.867,1.5499999999999998,2.696,9.959999999999999,7.686,4.657000000000001,2.646,1.7700000000000005
3.439,5.468,2.323,9.463,0.9060000000000001,3.846,13.684,34.083,18.805999999999997,9.26,5.9,3.365
0.8770000000000001,1.1260000000000001,0.809,5.122999999999999,0.735,0.933,4.872,7.545,1.1179999999999999,0.905,0.814,0.9189999999999999
2.955,4.766,2.449,4.024,4.479,3.3800000000000003,11.028,18.545,14.372,7.7570000000000014,4.226,1.676
